epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,236.871,2.71904,1.36119,1.15774,0.58345,0.54828,0.4221,0.10801,2.77483,1.47809,1.16448,0.000403275,0.000403275,0.000403275
43,245.039,3.01527,1.34895,1.09595,0.57923,0.56448,0.44074,0.1095,2.75357,1.54755,1.15781,0.000406111,0.000406111,0.000406111
44,250.376,2.68393,1.35041,1.10387,0.57923,0.56448,0.44074,0.1095,2.75357,1.54755,1.15781,0.000408613,0.000408613,0.000408613
45,255.745,2.62995,1.32906,1.1001,0.56853,0.581,0.43541,0.10764,2.73387,1.55733,1.15094,0.000410781,0.000410781,0.000410781
46,261.053,2.68085,1.38584,1.12741,0.56853,0.581,0.43541,0.10764,2.73387,1.55733,1.15094,0.000412616,0.000412616,0.000412616
47,266.311,2.70847,1.37892,1.1212,0.56113,0.56008,0.39659,0.09857,2.73373,1.47737,1.14852,0.000414118,0.000414118,0.000414118
48,271.595,2.66504,1.3891,1.11773,0.56113,0.56008,0.39659,0.09857,2.73373,1.47737,1.14852,0.000415287,0.000415287,0.000415287
49,276.914,2.72065,1.38272,1.11677,0.57673,0.56596,0.41272,0.10504,2.73382,1.41819,1.14497,0.000416122,0.000416122,0.000416122
50,282.252,2.61421,1.29299,1.06821,0.57673,0.56596,0.41272,0.10504,2.73382,1.41819,1.14497,0.000416623,0.000416623,0.000416623
51,287.747,2.75857,1.38301,1.1077,0.58919,0.5815,0.44178,0.10989,2.73145,1.40509,1.13865,0.000416792,0.000416792,0.000416792
52,293.046,2.70319,1.32582,1.05313,0.58919,0.5815,0.44178,0.10989,2.73145,1.40509,1.13865,0.000416627,0.000416627,0.000416627
53,298.501,2.89232,1.3336,1.02805,0.58919,0.5815,0.44178,0.10989,2.73145,1.40509,1.13865,0.000416128,0.000416128,0.000416128
54,303.721,2.70669,1.45561,1.14602,0.59146,0.58868,0.44629,0.10679,2.72971,1.37864,1.13107,0.000415297,0.000415297,0.000415297
55,310.677,2.72825,1.33947,1.08287,0.59146,0.58868,0.44629,0.10679,2.72971,1.37864,1.13107,0.000414131,0.000414131,0.000414131
56,316.2,2.68734,1.31773,1.06114,0.59146,0.58868,0.44629,0.10679,2.72971,1.37864,1.13107,0.000412633,0.000412633,0.000412633
57,321.535,2.69767,1.40346,1.10981,0.59725,0.58332,0.4495,0.10737,2.70769,1.38803,1.12284,0.000410801,0.000410801,0.000410801
58,326.707,2.61439,1.34562,1.10605,0.59725,0.58332,0.4495,0.10737,2.70769,1.38803,1.12284,0.000408636,0.000408636,0.000408636
59,332.914,2.73631,1.3233,1.06321,0.59725,0.58332,0.4495,0.10737,2.70769,1.38803,1.12284,0.000406137,0.000406137,0.000406137
60,338.223,2.63822,1.34551,1.10234,0.61557,0.59731,0.48486,0.12071,2.6844,1.37355,1.12154,0.000403305,0.000403305,0.000403305
61,343.497,2.635,1.35291,1.1032,0.61557,0.59731,0.48486,0.12071,2.6844,1.37355,1.12154,0.00040014,0.00040014,0.00040014
62,348.911,2.89167,1.32191,1.0333,0.61557,0.59731,0.48486,0.12071,2.6844,1.37355,1.12154,0.000396641,0.000396641,0.000396641
63,355.559,2.68607,1.33137,1.09864,0.61373,0.60529,0.48804,0.12391,2.68024,1.37571,1.12655,0.000392809,0.000392809,0.000392809
64,360.951,2.69954,1.34528,1.10777,0.61373,0.60529,0.48804,0.12391,2.68024,1.37571,1.12655,0.000388644,0.000388644,0.000388644
65,366.313,2.66798,1.26216,1.05814,0.61373,0.60529,0.48804,0.12391,2.68024,1.37571,1.12655,0.000384145,0.000384145,0.000384145
66,371.875,2.61205,1.28304,1.10024,0.61892,0.60461,0.4895,0.12415,2.67429,1.34766,1.12516,0.000379313,0.000379313,0.000379313
67,379.592,2.72163,1.31836,1.08166,0.61892,0.60461,0.4895,0.12415,2.67429,1.34766,1.12516,0.000374147,0.000374147,0.000374147
68,384.78,2.60421,1.34004,1.12586,0.61892,0.60461,0.4895,0.12415,2.67429,1.34766,1.12516,0.000368649,0.000368649,0.000368649
69,390.061,2.65846,1.28635,1.07148,0.62061,0.60327,0.48808,0.12146,2.66593,1.31796,1.11799,0.000362816,0.000362816,0.000362816
70,395.523,2.60268,1.29065,1.07412,0.62061,0.60327,0.48808,0.12146,2.66593,1.31796,1.11799,0.000356651,0.000356651,0.000356651
71,400.88,2.60571,1.33468,1.08279,0.62061,0.60327,0.48808,0.12146,2.66593,1.31796,1.11799,0.000350152,0.000350152,0.000350152
72,406.293,2.67122,1.35697,1.13262,0.64739,0.62272,0.51944,0.12634,2.64244,1.28665,1.10508,0.000343319,0.000343319,0.000343319
73,411.781,2.59858,1.29095,1.10121,0.64739,0.62272,0.51944,0.12634,2.64244,1.28665,1.10508,0.000336154,0.000336154,0.000336154
74,417.173,2.66421,1.30091,1.07871,0.64739,0.62272,0.51944,0.12634,2.64244,1.28665,1.10508,0.000328655,0.000328655,0.000328655
75,422.34,2.52367,1.31257,1.10724,0.64813,0.62306,0.51872,0.12673,2.6402,1.29826,1.10142,0.000320822,0.000320822,0.000320822
76,427.646,2.70516,1.31225,1.08052,0.64813,0.62306,0.51872,0.12673,2.6402,1.29826,1.10142,0.000312656,0.000312656,0.000312656
77,433.068,2.68421,1.32363,1.1017,0.64813,0.62306,0.51872,0.12673,2.6402,1.29826,1.10142,0.000304157,0.000304157,0.000304157
78,438.301,2.61857,1.30614,1.09582,0.62263,0.61687,0.5065,0.12517,2.63909,1.30284,1.0995,0.000295325,0.000295325,0.000295325
79,443.582,2.6099,1.31752,1.12327,0.62263,0.61687,0.5065,0.12517,2.63909,1.30284,1.0995,0.000286159,0.000286159,0.000286159
80,448.941,2.75186,1.26544,1.01811,0.62263,0.61687,0.5065,0.12517,2.63909,1.30284,1.0995,0.000276659,0.000276659,0.000276659
81,455.547,2.64554,1.31017,1.09703,0.60997,0.61426,0.49667,0.12363,2.64856,1.3049,1.1007,0.000266827,0.000266827,0.000266827
82,463.36,2.64189,1.3371,1.08603,0.60997,0.61426,0.49667,0.12363,2.64856,1.3049,1.1007,0.000256661,0.000256661,0.000256661
83,468.8,2.59232,1.28803,1.04837,0.60997,0.61426,0.49667,0.12363,2.64856,1.3049,1.1007,0.000246161,0.000246161,0.000246161
84,473.937,2.64538,1.44448,1.12406,0.60756,0.60613,0.47779,0.1205,2.65647,1.30958,1.10129,0.000235329,0.000235329,0.000235329
85,479.263,2.61003,1.28846,1.05666,0.60756,0.60613,0.47779,0.1205,2.65647,1.30958,1.10129,0.000224162,0.000224162,0.000224162
86,484.429,2.60264,1.46708,1.1588,0.60756,0.60613,0.47779,0.1205,2.65647,1.30958,1.10129,0.000212663,0.000212663,0.000212663
87,489.642,2.58837,1.41977,1.04392,0.60756,0.60613,0.47779,0.1205,2.65647,1.30958,1.10129,0.00020083,0.00020083,0.00020083
88,494.93,2.66753,1.56117,1.18403,0.61225,0.61534,0.49551,0.1269,2.62942,1.30607,1.09681,0.000188664,0.000188664,0.000188664
89,500.073,2.52607,1.39948,1.09671,0.61225,0.61534,0.49551,0.1269,2.62942,1.30607,1.09681,0.000176164,0.000176164,0.000176164
90,505.173,2.52876,1.42068,1.12494,0.61225,0.61534,0.49551,0.1269,2.62942,1.30607,1.09681,0.000163331,0.000163331,0.000163331
91,510.307,2.54399,1.38984,1.11655,0.61225,0.61534,0.49551,0.1269,2.62942,1.30607,1.09681,0.000150165,0.000150165,0.000150165
92,515.507,2.53294,1.41089,1.14333,0.62875,0.62935,0.51458,0.13401,2.61489,1.29527,1.09674,0.000136665,0.000136665,0.000136665
93,520.684,2.5649,1.36869,1.07075,0.62875,0.62935,0.51458,0.13401,2.61489,1.29527,1.09674,0.000122832,0.000122832,0.000122832
94,526.316,2.57555,1.38701,1.13245,0.62875,0.62935,0.51458,0.13401,2.61489,1.29527,1.09674,0.000108666,0.000108666,0.000108666
95,531.474,2.59117,1.4075,1.14027,0.62875,0.62935,0.51458,0.13401,2.61489,1.29527,1.09674,9.41661e-05,9.41661e-05,9.41661e-05
96,536.734,2.53259,1.38253,1.12758,0.63749,0.64581,0.52223,0.13356,2.61164,1.29044,1.09709,7.93329e-05,7.93329e-05,7.93329e-05
97,541.903,2.49184,1.39449,1.16265,0.63749,0.64581,0.52223,0.13356,2.61164,1.29044,1.09709,6.41664e-05,6.41664e-05,6.41664e-05
98,547.165,2.5422,1.34202,1.08693,0.63749,0.64581,0.52223,0.13356,2.61164,1.29044,1.09709,4.86665e-05,4.86665e-05,4.86665e-05
99,552.414,2.66361,1.36276,1.08377,0.63749,0.64581,0.52223,0.13356,2.61164,1.29044,1.09709,3.28333e-05,3.28333e-05,3.28333e-05
100,557.612,2.56379,1.3895,1.17894,0.63778,0.64367,0.52138,0.13393,2.60694,1.29285,1.096,1.66667e-05,1.66667e-05,1.66667e-05
